Time,Id,Score,Badges
27-Mar-2019 12:54:26,34524,8340,10
27-Mar-2019 12:54:26,631608,8720,22
27-Mar-2019 12:54:26,1861624,9090,15
27-Mar-2019 12:54:26,3303717,8750,9
27-Mar-2019 12:54:26,3354683,8425,15
27-Mar-2019 12:54:26,5960633,9000,10
27-Mar-2019 12:54:26,7164325,9780,39
27-Mar-2019 12:54:26,8171411,9545,12
27-Mar-2019 12:54:26,8960155,8755,10
27-Mar-2019 12:54:26,11433059,9100,11
04-Apr-2019 15:56:44,34524,8340,10
04-Apr-2019 15:56:44,631608,8720,22
04-Apr-2019 15:56:44,1861624,9090,15
04-Apr-2019 15:56:44,3303717,8750,9
04-Apr-2019 15:56:44,3354683,8425,15
04-Apr-2019 15:56:44,5960633,9000,10
04-Apr-2019 15:56:44,7164325,9780,39
04-Apr-2019 15:56:44,8171411,9545,12
04-Apr-2019 15:56:44,8960155,8755,10
04-Apr-2019 15:56:44,11433059,9100,11
